Transformation Number,Time Between Messages,Moving Average Time Between Messages,Translation_x,Filtered Translation_x,Translation_y,Filtered Translation_y,Translation_z,Filtered Translation_z,Rotation_x,Filtered Rotation_x,Rotation_y,Filtered Rotation_y,Rotation_z,Filtered Rotation_z,Rotation_w,Filtered Rotation_w
1,0.04372048377990723,0.04372048377990723,-0.12538595497608185,-0.12538595497608185,-0.08441849797964096,-0.08441849797964096,0.7847315073013306,0.7847315073013306,0.050410700425032366,0.050410700425032366,0.9980909675961818,0.9980909675961818,-0.005640882854803019,-0.005640882854803019,0.035232969307080635,0.035232969307080635
2,0.03458714485168457,0.0391538143157959,-0.1253831386566162,-0.12538454681634903,-0.08441780507564545,-0.0844181515276432,0.7847355604171753,0.7847335338592529,0.050363827654414564,0.05038726403972346,0.9981046116778606,0.9980977896370211,-0.0054919345122497526,-0.005566408683526386,0.034935764864914946,0.03508436708599779
3,0.027527570724487305,0.0352783997853597,-0.1253872960805893,-0.12538595497608185,-0.08439911156892776,-0.08441780507564545,0.7846699357032776,0.7847315073013306,0.05060239549857416,0.050410700425032366,0.998062744222222,0.9980909675961818,-0.0058479030989756695,-0.005640882854803019,0.03572055703314869,0.035232969307080635
4,0.07329916954040527,0.044783592224121094,-0.12552784383296967,-0.12538662552833557,-0.08444584906101227,-0.0844181515276432,0.7850320339202881,0.7847335338592529,0.050992466824692134,0.05050654796180326,0.9979800997951332,0.9980768559092019,-0.004402700940631879,-0.005566408683526386,0.03763117011808133,0.03547676317011467
5,0.07336592674255371,0.05050005912780762,-0.1256343275308609,-0.12545756995677948,-0.08441344648599625,-0.08441562578082085,0.7855165004730225,0.7848837971687317,0.05080042848670975,0.050701411992641957,0.9978826886131104,0.9980214220086776,-0.003923293050694068,-0.004947317726440815,0.040423557531162974,0.03667586357561501
6,0.05687737464904785,0.05156294504801432,-0.12563194334506989,-0.12557989358901978,-0.08441217988729477,-0.08441281318664551,0.7854881882667542,0.7852601110935211,0.05078612642874732,0.05079327745772853,0.9978967011750878,0.9979384004851105,-0.0038010347000758554,-0.0041629969956629735,0.0401060504344393,0.03886861027626032
7,0.031939029693603516,0.04875952856881278,-0.12567929923534393,-0.1256331354379654,-0.08437402546405792,-0.08441281318664551,0.7854146361351013,0.7854514122009277,0.05092125831113645,0.0508608433989231,0.9979414234508425,0.9979190623129651,-0.0033907435888544156,-0.0038621638753849616,0.03883868781037295,0.03947236912240613
8,0.09119796752929688,0.05406433343887329,-0.12575460970401764,-0.12565681338310242,-0.08438711613416672,-0.08439964801073074,0.7858691811561584,0.7855023443698883,0.051473536873569155,0.0508608433989231,0.9976876652580355,0.9978896948940991,-0.005371343572383086,-0.0038621638753849616,0.04405617166666625,0.040264803982801134
9,0.0228121280670166,0.05059186617533366,-0.1257324069738388,-0.12570585310459137,-0.08434629440307617,-0.08438057079911232,0.7857194542884827,0.7856038212776184,0.0514931786454662,0.0511973975923528,0.9977215790370098,0.9978091401060487,-0.004653826464960869,-0.0042274305825183624,0.04334103339926142,0.04172354191685036
10,0.0920267105102539,0.054735350608825686,-0.1257498413324356,-0.1257411241531372,-0.0843125581741333,-0.08436015993356705,0.7853911519050598,0.785567045211792,0.051968576042695204,0.05148335775951768,0.9977222495191831,0.9977219142780964,-0.008347122080684555,-0.005012585018671977,0.042188925933776544,0.04276497966651898
11,0.01754617691040039,0.052117919921875,-0.125800222158432,-0.12575222551822662,-0.08428327739238739,-0.08432942628860474,0.7854594588279724,0.7855894565582275,0.05163258577003506,0.05156288220775063,0.9978830021137032,0.9977219142780964,-0.005286534703807345,-0.005328939138095215,0.03918727765574815,0.04276497966651898
12,0.05383014678955078,0.05404222011566162,-0.12578117847442627,-0.12576550990343094,-0.0842389315366745,-0.08429791778326035,0.7849398851394653,0.7854253053665161,0.05217897277827765,0.051800580906365135,0.9977127666376041,0.9977219142780964,-0.00954233312929518,-0.00681682839224595,0.041899092670259826,0.04204400930201818
