Time Stamp,Time Between Messages,Moving Average Time Between Messages,Translation_x,Filtered Translation_x,Translation_y,Filtered Translation_y,Translation_z,Filtered Translation_z,Rotation_x,Filtered Rotation_x,Rotation_y,Filtered Rotation_y,Rotation_z,Filtered Rotation_z,Rotation_w,Filtered Rotation_w
1729766476.212401296,0.18825006484985352,0.18825006484985352,0.6073100601573612,0.6073100601573612,0.2118351359488081,0.2118351359488081,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599622337392,-0.7013599622337392,0.7128072694462985,0.7128072694462985
1729766476.355195102,0.1427936553955078,0.03310437202453613,0.6073101298925083,0.6073100950249348,0.21183493717074608,0.2118350365597771,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013600795945153,-0.7013600209141273,0.7128071539702553,0.7128072117082769
1729766476.369320028,0.014124870300292969,0.03137896277687766,0.6073103133039223,0.6073101298925083,0.21183441134738057,0.21183493717074608,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013603881770011,-0.7013600795945153,0.7128068503432095,0.7128071539702553
1729766476.509630342,0.14031052589416504,0.009159983329053194,0.6073104232386558,0.6073102215982153,0.2118340960828582,0.21183467425906333,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013605731226745,-0.7013602338857582,0.7128066683674007,0.7128070021567323
1729766476.821667779,0.31203722953796387,0.014500297199596059,0.6073103080238422,0.6073103106638822,0.21183442591438162,0.2118344186308811,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013603792772474,-0.7013603837271243,0.712806859100048,0.7128068547216287
1729766476.981994365,0.16032671928405762,0.011825223027923961,0.6073101325443164,0.6073103106638822,0.21183492956921002,0.2118344186308811,0.0,0.0,0.0,0.0,0.0,0.0,-0.701360084056976,-0.7013603837271243,0.7128071495794578,0.7128068547216287
1729766477.184914843,0.20292043685913086,0.012755642880450238,0.6073100626202173,0.6073102202840793,0.21183512969836682,0.21183467774179582,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599664028872,-0.7013602316671117,0.7128072653441047,0.712807004339753
1729766477.264706648,0.07979178428649902,0.012405552864074708,0.6073105011477392,0.6073102202840793,0.21183387281642807,0.21183467774179582,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013607042187873,-0.7013602316671117,0.7128065393763773,0.712807004339753
1729766477.301782383,0.03707575798034668,0.01264981232067146,0.6073103890430346,0.6073102607936756,0.21183419396016478,0.2118345617646874,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013605155991193,-0.7013602998280477,0.7128067249672505,0.7128069372733541
1729766477.337048749,0.03526639938354492,0.011827904898841102,0.6073102447175106,0.6073103168802726,0.2118346074897426,0.2118344007249537,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013602727697678,-0.7013603941844435,0.7128069638971809,0.7128068444322158
1729766477.461104691,0.12405586242675781,0.01026395218712943,0.6073101325628857,0.6073103168802726,0.21183492951648975,0.2118344007249537,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013600840887356,-0.7013603941844435,0.7128071495482082,0.7128068444322158
1729766477.624812402,0.16370773315429688,0.011352205952854022,0.607310067086306,0.6073101886401981,0.21183511723152315,0.21183476850311617,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599739272266,-0.7013601784292517,0.7128072579406022,0.7128070567226945
1729766477.827406447,0.20259404182434082,0.011200342119110297,0.6073100619047321,0.6073100998245958,0.2118351318109537,0.21183502337400645,0.0,0.0,0.0,0.0,0.0,0.0,-0.701359965201482,-0.7013600290079811,0.712807266526216,0.7128072037444052
1729766477.943283224,0.11587691307067871,0.011289011730867275,0.607310336642341,0.6073100998245958,0.21183434444001958,0.21183502337400645,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013604274448236,-0.7013600290079811,0.7128068117059589,0.7128072037444052
1729766477.993794498,0.05051112174987793,0.010882006165731019,0.6073101790491813,0.6073101230677436,0.2118347962451691,0.21183495673834613,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013601623004285,-0.7013600681138276,0.712807072592519,0.7128071652665606
1729766478.99355096,0.1055605411529541,0.0109799135298956,0.6073101967663391,0.6073101879077603,0.21183474515822798,0.21183477070169854,0.0,0.0,0.0,0.0,0.0,0.0,-0.701360192100247,-0.7013601772003377,0.7128070432712521,0.7128070579318855
1729766478.153313205,0.05395817756652832,0.010592844948839785,0.6073101333751999,0.6073101879077603,0.21183492714654573,0.21183477070169854,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013600854547343,-0.7013601772003377,0.7128071482041464,0.7128070579318855
1729766478.271560506,0.11824727058410645,0.010701948120480491,0.607310071876207,0.6073101562121905,0.21183510348143597,0.2118348616958574,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599819859954,-0.7013601238775814,0.7128072500112527,0.7128071103983327
1729766478.329858846,0.058298349380493164,0.010927523481902353,0.6073100679803285,0.6073101026257035,0.21183511449289605,0.21183501531399085,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599754266961,-0.7013600337203648,0.7128072564652131,0.7128071991076995
1729766478.418174124,0.08831524848937988,0.010931610516761536,0.6073102506251091,0.6073101026257035,0.21183459097678825,0.21183501531399085,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013602827224119,-0.7013600337203648,0.7128069541043622,0.7128071991076995
1729766478.579516002,0.16134190559387207,0.011062184453526617,0.6073101271834898,0.6073100995298484,0.21183494480571619,0.21183502414357608,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013600750349284,-0.7013600285104619,0.7128071584566191,0.712807204233936
1729766478.655464829,0.07594895362854004,0.010918313536901198,0.6073101330422161,0.607310130112853,0.21183492811482474,0.21183493646027046,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013600848951549,-0.7013600799650417,0.7128071487547395,0.7128071536056793
1729766478.737353299,0.08188843727111816,0.010435392306401179,0.607310079304333,0.607310130112853,0.2118350820296464,0.21183493646027046,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599944790966,-0.7013600799650417,0.712807237718783,0.7128071536056793
1729766478.889908470,0.15255522727966309,0.010979912746911761,0.6073101537458054,0.607310130112853,0.21183486878794666,0.21183493646027046,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013601197290283,-0.7013600799650417,0.712807114480266,0.7128071536056793
1729766478.897315363,0.007406711578369141,0.010842128069895618,0.6073101789286718,0.6073101433940108,0.2118347965910834,0.2118348984513857,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013601620981839,-0.7013601023120917,0.7128070727915158,0.7128071316175028
1729766478.969160442,0.07184529304504395,0.010867192736411006,0.6073104231959702,0.6073101663372387,0.21183409629873717,0.21183483268951503,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013605730686646,-0.7013601409136061,0.7128066684205433,0.7128070936358909
1729766479.56754637,0.08759403228759766,0.010493436899152182,0.6073103713113145,0.6073102751199931,0.21183424500097736,0.21183452079603038,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013604857732842,-0.701360323935734,0.7128067543141429,0.7128069135528293
1729766479.129179274,0.07242465019226074,0.009380748985036982,0.6073101328761481,0.6073102751199931,0.2118349285557969,0.21183452079603038,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013600846107125,-0.701360323935734,0.7128071490346138,0.7128069135528293
1729766479.216483316,0.08730411529541016,0.009416908641128765,0.6073101328762811,0.6073102520937979,0.21183492854758834,0.21183458677428285,0.0,0.0,0.0,0.0,0.0,0.0,-0.701360084614914,-0.7013602851940991,0.7128071490304799,0.7128069516723115
1729766479.289485234,0.07300186157226562,0.009045246235221377,0.6073100696894116,0.6073101328762146,0.2118351097505642,0.21183492855169261,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599783072056,-0.7013600846128132,0.7128072536309631,0.7128071490325469
1729766479.695755161,0.40627002716064453,0.00968760928252127,0.6073100613227637,0.6073101012827798,0.21183513373475393,0.21183501915318054,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599642307221,-0.7013600314589591,0.712807267481386,0.7128072013327884
1729766480.105361024,0.4096057415008545,0.010711836376840986,0.6073100747331828,0.6073100722112972,0.2118350952996968,0.2118351025251305,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599867936099,-0.7013599825504078,0.7128072452808455,0.7128072494559043
1729766480.162250941,0.056890010833740234,0.01063778835581017,0.6073100686573334,0.6073100691733725,0.21183511272760547,0.21183511123908483,0.0,0.0,0.0,0.0,0.0,0.0,-0.7013599765715154,-0.7013599774393605,0.7128072553387792,0.7128072544848711
