Transformation Number,Time Between Messages,Moving Average Time Between Messages,Translation_x,Filtered Translation_x,Translation_y,Filtered Translation_y,Translation_z,Filtered Translation_z,Rotation_x,Filtered Rotation_x,Rotation_y,Filtered Rotation_y,Rotation_z,Filtered Rotation_z,Rotation_w,Filtered Rotation_w
0,0.009799957275390625,0.009799957275390625,0.7204720213867248,0.7204720213867248,0.6288202528156375,0.6288202528156375,0.2728717795023128,0.2728717795023128,0.008651390880914385,0.008651390880914385,0.023148426239842212,0.023148426239842212,-0.012666605698724763,-0.012666605698724763,0.9996143560886455,0.9996143560886455
1,0.010396718978881836,0.010127425193786621,0.7212508712631238,0.7208614463249243,0.6272478710740901,0.6280340619448638,0.2743975024527734,0.2736346409775431,0.011145369461768096,0.009898380171341242,0.021641027224956956,0.022394726732399582,-0.012951405138414985,-0.012809005418569875,0.9996197816095628,0.9996170688491042
2,0.009135961532592773,0.010018110275268555,0.7199655728216843,0.7204720213867248,0.6284207417601172,0.6284207417601172,0.2783032202122091,0.2743975024527734,0.014068639395810647,0.011145369461768096,0.01819532447432341,0.021641027224956956,-0.01261540115551867,-0.012666605698724763,0.9996558683899726,0.9996197816095628
3,0.009657621383666992,0.009966611862182617,0.720966901076575,0.7207194612316499,0.6288657233730299,0.6286204972878773,0.27282671264131575,0.2736346409775431,0.009184615057298659,0.010164992259533379,0.020011664775509946,0.02082634600023345,-0.013085269606100562,-0.012809005418569875,0.9996719221016951,0.9996378249997677
4,0.009250164031982422,0.010061216354370118,0.7199574700739013,0.7204662369491297,0.6284157093470485,0.6284182255535828,0.2788148935952126,0.27635036133249125,0.011703828628965351,0.011424599045366725,0.017244113428161695,0.01910349462491668,-0.012727372831402317,-0.012839388984908651,0.9997017930004481,0.9996638952458339
5,0.009468555450439453,0.009916802247365316,0.721102169623209,0.7204662369491297,0.62709031589434,0.6284182255535828,0.278039921251237,0.27817157073172305,0.012587008804840418,0.012145418716902886,0.01890251635415103,0.018548920414237217,-0.012564925180129673,-0.012671386993460494,0.9996631356312213,0.9996675288664583
6,0.008998394012451172,0.009998476505279541,0.7233037321781348,0.721034535349892,0.6320569409419409,0.6286407163600392,0.2605803123657304,0.2754333169462764,0.005310037519128037,0.010444221843132005,0.022133017880717823,0.019457090564830488,-0.013123882982368459,-0.012906321218751439,0.9996547887728555,0.9996675288664583
7,0.009028434753417969,0.00995228404090518,0.72230248541712,0.7217023275201646,0.630863145119967,0.6296394272335077,0.2653322980121562,0.2716861096316966,0.006749644308937873,0.009226736468951613,0.02083496549866101,0.019868740926406017,-0.013343352846750063,-0.012925627906885388,0.9996710966358783,0.9996671161335497
8,0.010066986083984375,0.01002394768499559,0.7224337885871147,0.7223681370021173,0.6299435009285784,0.6304033230242727,0.2664120706368762,0.2658721843245162,0.009730855542777252,0.008240249925857562,0.021783214240692968,0.021309089869676986,-0.012332165816172623,-0.012844404081249067,0.9996392948028964,0.9996589622020384
9,0.010487794876098633,0.009995719965766458,0.7237076606100529,0.7228687603826247,0.630480391282695,0.630671768201331,0.2605828525912819,0.26295757530171904,0.010673461628907964,0.008240249925857562,0.02649141625683371,0.021958116060705395,-0.011917092048981774,-0.012728024399270541,0.9995210177873497,0.999647041787876
10,0.009120941162109375,0.00999801333357648,0.719068886392461,0.7223681370021173,0.632593531395589,0.630671768201331,0.26936389221592405,0.2658721843245162,0.003941391541358065,0.008240249925857562,0.01624939905287099,0.021309089869676986,-0.013421573502181181,-0.012837759331461343,0.999770115490488,0.9996551957193873
11,0.009164094924926758,0.009984091216442632,0.7186280845960326,0.7207513374897878,0.6319296326791598,0.6312050119809274,0.2718821758652039,0.26788798142640013,0.005829504806877899,0.007780180174827575,0.01592261336039117,0.01901630664678198,-0.012614877728578286,-0.012473521772375455,0.9997766511163256,0.9997047051466922
12,0.011810302734375,0.010019210668710561,0.7177256150535196,0.7188484854942467,0.6309500648949111,0.6314398487870354,0.2802896394914547,0.270623034040564,0.007013650686411874,0.006421577746644886,0.010181471812211221,0.01608600620663108,-0.013754674347848059,-0.013018225615379735,0.9998289630078591,0.9997733833034068
13,0.008158683776855469,0.009980585840013292,0.7210787389136524,0.7188484854942467,0.6322264465353591,0.6320780396072594,0.26465894082640706,0.270623034040564,0.004909145674156287,0.0053693252405170935,0.023023481009671574,0.01608600620663108,-0.012330601443765687,-0.013018225615379735,0.9996468255734032,0.9997733833034068
14,0.01235818862915039,0.010023814981633966,0.7200675919621345,0.7193478382790836,0.6315830899871817,0.6317563613331707,0.2704788772107509,0.2711805265379774,0.006332085936402069,0.006080795371639984,0.01951999967192843,0.0177213065161598,-0.012507198204836992,-0.012561037966707638,0.9997111804384139,0.9997439157773698
15,0.010153055191040039,0.009994768705524381,0.7176042320082657,0.718896603507827,0.6309906282506201,0.6312868591189009,0.2782664249812363,0.2743726510959936,0.005800957418922062,0.006066521677662065,0.013465311185817211,0.01649265542887282,-0.013559951010537842,-0.013033574607687417,0.999800561120209,0.9997558707793115
16,0.009874105453491211,0.009992822524039977,0.7197287838045424,0.7198981878833385,0.6308143468763586,0.6312868591189009,0.27183488796623023,0.2711568825884906,0.0056703616860142025,0.005735659552468133,0.0180410368440931,0.018780518258010765,-0.013603129852328219,-0.013033574607687417,0.9997286246007766,0.9997199025195953
17,0.009407520294189453,0.009988082966334383,0.7216251858971302,0.7198981878833385,0.630572689343264,0.6309024875634894,0.26585467047288036,0.2711568825884906,0.008039296636974664,0.006066521677662065,0.02213304283544383,0.018780518258010765,-0.013503283023087337,-0.013531617016812589,0.9996315118442523,0.9997199025195953
18,0.009111642837524414,0.009998615473917085,0.7218225574753605,0.7206769848508363,0.6275298344305655,0.6306935181098113,0.27225047429475846,0.27204268113049435,0.010547116688089388,0.006920127027948362,0.021471731325167647,0.019756384084630374,-0.013583041628485285,-0.013571496319511564,0.9996215404159648,0.9996800682225144
19,0.009769439697265625,0.010003751118977864,0.7216365757843137,0.7216308808407219,0.6306421852681938,0.6306074373057289,0.2667407285752905,0.2692878082707604,0.00694082736045254,0.007490061998713602,0.018938432739529776,0.020205082032348713,-0.013760619324975961,-0.013593085740406751,0.999701858574203,0.9996666852092276
20,0.00855112075805664,0.009995736726900427,0.7204685787308293,0.7216308808407219,0.6308603971809532,0.6306074373057289,0.27158611738003446,0.2691634229776625,0.004417399878212509,0.007490061998713602,0.01723430357079595,0.020205082032348713,-0.0136288978746936,-0.013605969751589442,0.999748827706973,0.9996666852092276
