Time Stamp,Time Between Messages,Moving Average Time Between Messages,Translation_x,Filtered Translation_x,Translation_y,Filtered Translation_y,Translation_z,Filtered Translation_z,Rotation_x,Filtered Rotation_x,Rotation_y,Filtered Rotation_y,Rotation_z,Filtered Rotation_z,Rotation_w,Filtered Rotation_w
1728644306.682869872,0.0,0.0,-1.0129301187970272,-1.0129301187970272,-0.05328830520829686,-0.05328830520829686,-0.025560966756693615,-0.025560966756693615,-0.05002758130009944,-0.05002758130009944,0.006620295200446473,0.006620295200446473,0.029880762303152262,0.029880762303152262,0.9982787951493828,0.9982787951493828
1728644306.724884673,0.04201483726501465,0.007002472877502441,-1.0128713562563745,-1.0129007375267007,-0.05443327382443075,-0.053860789516363805,-0.019592165274900486,-0.02257656601579705,-0.050326146531981114,-0.050176863916040274,0.00753709637451722,0.0070786957874818465,0.030205385473723395,0.030043073888437827,0.998247517323167,0.9982631562362749
1728644306.756239226,0.031354427337646484,0.006114105383555095,-1.013716712706226,-1.0129301187970272,-0.055229569359173114,-0.05443327382443075,-0.01969948481530337,-0.01969948481530337,-0.052190378660167215,-0.050326146531981114,0.008502387008416724,0.00753709637451722,0.029840094985002216,0.029880762303152262,0.9981550192839554,0.998247517323167
1728644306.765684482,0.0094451904296875,0.005915318216596331,-1.0139191564185484,-1.0133234157516267,-0.054700535209075585,-0.05456690451675317,-0.020617414117849675,-0.020158449466576522,-0.04965470543943463,-0.050176863916040274,0.010878283584153279,0.008019741691466973,0.030430047052763295,0.030043073888437827,0.9982435000591551,0.998245508691161
1728644306.793855697,0.028171300888061523,0.005549287796020508,-1.0137555915434657,-1.0137361521248458,-0.054685267896572576,-0.05469290155282408,-0.022716883106262298,-0.020158449466576522,-0.0501929085620055,-0.05025952754699331,0.01164301971621276,0.009690335296285001,0.02904560329679625,0.030022740229362806,0.998249199824923,0.998245508691161
1728644306.818598797,0.024743080139160156,0.005655368169148763,-1.014085786794953,-1.0138373739810072,-0.054023639362632436,-0.05469290155282408,-0.022151358527382925,-0.0213843863226163,-0.05341101959982912,-0.05119164361108636,0.009550424326393112,0.010214353955273196,0.030151837022092016,0.029995966003547116,0.9980716001894281,0.9981992596715552
1728644306.869166354,0.050567626953125,0.0046574115753173825,-1.0153147480797882,-1.0140024716067506,-0.05445654296212543,-0.054570905429349004,-0.023452252793728645,-0.02243412081682261,-0.05496762194506475,-0.05180196408091731,0.011264239965742072,0.011071261774947674,0.03099219367348399,0.030290942037427656,0.9979434660174913,0.9981575501242916
1728644306.910183730,0.04101729393005371,0.005412232308160691,-1.0160645653096112,-1.0147002674373706,-0.055419136351434806,-0.054570905429349004,-0.023864285069571833,-0.02308456794999547,-0.05440176071851832,-0.05390639015917372,0.012919149362921805,0.011453629840977416,0.03170275809370334,0.030572015347788,0.9979321014676878,0.9980075331034597
1728644306.937574743,0.02739095687866211,0.004245078563690186,-1.0142601111190654,-1.0147874295994268,-0.05476531345286717,-0.0546109282074963,-0.02145909364673515,-0.022801805660555785,-0.05353116254735765,-0.05396646163293799,0.011838545675353074,0.011551392820547573,0.030015067722356462,0.030572015347788,0.9980447681252796,0.9979941170713855
1728644307.34308761,0.09673404693603516,0.005168217069962446,-1.0133578237563112,-1.0147874295994268,-0.05381888922471745,-0.0546109282074963,-0.021041486004346854,-0.022455673220231898,-0.04801662729786997,-0.05396646163293799,0.006849602069232665,0.011551392820547573,0.027527176852548033,0.030503630697920225,0.9984436593964424,0.9979941170713855
1728644307.106864176,0.0725555419921875,0.005170662228654071,-1.0147365007919082,-1.0144983059554868,-0.05599314541934575,-0.05509222490215099,-0.021839399649752567,-0.02164924664824386,-0.052798808783349416,-0.053164985665353534,0.011986602958442893,0.011912574316897984,0.03133779493019412,0.03067643132627529,0.9980413567330209,0.9980430624291503
1728644307.184737056,0.07787275314331055,0.004920265253852396,-1.0153261325886742,-1.0144983059554868,-0.05578507196586535,-0.05527519270936626,-0.016518452658872196,-0.021250289825541002,-0.04851759386214785,-0.05065820132274863,0.010080803143293075,0.010959674409323075,0.03016990261639082,0.030092485169373642,0.9983156802684867,0.9981802241968831
1728644307.240541458,0.05580449104309082,0.005163625434592918,-1.0140289253081427,-1.0143827130500256,-0.053648356651337825,-0.0548019805952914,-0.02442841708770649,-0.02144044282704971,-0.0479265337722859,-0.04826711058000891,0.010874744909551586,0.01047777402642233,0.028941989065779182,0.029555945841085,0.9983722494904606,0.9983439648794736
1728644307.296520105,0.05597853660583496,0.0050299187175563125,-1.015713101779615,-1.0150313166902913,-0.05444454922663744,-0.055114810596251396,-0.023690310507007872,-0.02276485507838022,-0.05103353804160658,-0.04977556595187722,0.010630743015787517,0.01075274396266955,0.03135393666784954,0.03075384877329247,0.9981480330859329,0.9982318566772098
1728644307.317159726,0.020639657974243164,0.0051152398509363975,-1.0148541398778461,-1.01509013623326,-0.05448507241816947,-0.05446481082240345,-0.024692335848186087,-0.02405936379735718,-0.04985145036999999,-0.04918452211607392,0.010525254787285275,0.010577998901536396,0.030291254307163815,0.03023057846177732,0.9982417001008167,0.9982786901846517
